"name","degree","JobId","Qualification"
"John Doe","B.Com","398454096642776","M.Com/B.Com"
"Jane Smith","M.Com","1089843540111562","M.Com"
"Alice Johnson","PhD","481640072963533","PhD"
"Bob Brown","BBA","1680293940995740","MBA/BBA"
"Charlie Davis","BCA","2696958764033354","MCA/BCA"
"George Harris","M.Tech","1446194141960546","M.Tech/B.Tech"
"Hannah Martin","MBA","117057806156508","MBA"
"Ian Clark","MCA","116831420231957","MCA"
"Jessica Lewis","PhD","688192671473044","PhD"
"Larry Anderson","B.Tech","940776147258900","M.Tech/B.Tech"
"Monica Hall","BA","2393104539885627","BA"
"Nathan Allen","BBA","2263070284964014","MBA/BBA"
"Olivia Young","BCA","1524311163188117","MCA/BCA"
"Quinn Wright","M.Tech","2823887164112482","M.Tech"
"Rachel Scott","MBA","2277355440844434","MBA"
"Steve Adams","MCA","1914121205954296","MCA"
"Tina Baker","PhD","1292168246729889","PhD"
"Victor Roberts","B.Tech","1624471339210844","M.Tech/B.Tech"
"Wendy Evans","BA","76902098772934","BA"
"Xander Collins","BBA","1355325262915901","MBA/BBA"
"Yvonne Stewart","BCA","1462699667162772","MCA/BCA"
"Aaron Wood","M.Tech","2508133000944341","M.Tech"
"Bella Watson","MBA","2812077440184777","MBA"
"Cameron Reed","MCA","1627539131873813","MCA"
"Diana Murphy","PhD","407980927519454","PhD"
"Fiona Bailey","B.Tech","1373513885523551","M.Tech/B.Tech"
"Gavin Nelson","BA","235216486127884","BA"
"Hazel Rivera","BBA","385983883133993","MBA/BBA"
"Isaac Brooks","BCA","2149248180059910","MCA/BCA"
"Kevin Mitchell","M.Tech","1504621983937621","M.Tech"
"Luna Gray","MBA","2530788203957020","MBA"
"Michael Hayes","MCA","2828247805840851","MCA"
"Nina Simmons","PhD","2808730603865187","PhD"
"Paula Ward","B.Tech","1932055874260837","M.Tech/B.Tech"
"Quincy Hughes","BA","2425661201998142","BA"
"Ruby Powell","BBA","751362291851303","MBA/BBA"
"Samuel Russell","BCA","972331080088144","MCA/BCA"
"Ursula Howard","M.Tech","2904879381492355","M.Tech/B.Tech"
"Victor Morgan","MBA","1119902432552693","MBA"
"Walter Bell","MCA","1623435902000493","MCA"
"Xena Bryant","PhD","3023207081599021","PhD"
"Zoe Jenkins","B.Tech","2853459439973158","M.Tech/B.Tech"
"Anthony Long","BA","2020637774150541","BA"
"Brittany Patterson","BBA","433363914105835","MBA/BBA"
"Carlos Coleman","BCA","2016798883546699","MCA/BCA"
"Eleanor Perry","M.Tech","1378095303036012","M.Tech"
"Frankie Alexander","MBA","2513773396059277","MBA"
"Gina Butler","MCA","1698918376329291","MCA"
"Harold Webb","PhD","1887042790868742","PhD"
"Jackie Harper","B.Tech","2417807352752173","M.Tech/B.Tech"
"Kurt Matthews","BA","419221709320780","BA"
"Lara Jennings","BBA","2932248483356055","MBA/BBA"
"Mason Rhodes","BCA","1786307353547155","MCA/BCA"
"Owen Perry","M.Tech","1101347351405871","M.Tech"
"Piper Freeman","MBA","2661828335076771","MBA"
"Quinton Lawrence","MCA","1070094687163912","MCA"
"Riley Patterson","PhD","832490435008360","PhD"
"Tanya Edwards","B.Tech","3047887559567685","M.Tech/B.Tech"
"Ulysses Ross","BA","487916817418719","BA"
"Vivian Hughes","BBA","1576493494098083","MBA/BBA"
"Wayne Rogers","BCA","2472658070216212","MCA/BCA"
"Yasmine Barrett","M.Tech","929230808515445","M.Tech/B.Tech"
"Zane Cole","MBA","1639064859293343","MBA"
"Abigail Porter","MCA","1853009264735274","MCA"
"Blake Townsend","PhD","401560922349533","PhD"
"Dylan Walker","B.Tech","1698412424394723","M.Tech/B.Tech"
"Elise Sanders","BA","1191707058920608","BA"
"Francis Hicks","BBA","2782181833230607","MBA/BBA"
"Gloria Long","BCA","2402497415714130","MCA/BCA"
"Isabel Rivera","M.Tech","18546437476934","M.Tech"
"Jason Bell","MBA","1343787400703296","MBA"
"Kate Hughes","MCA","3071871213659049","MCA"
"Liam Martin","PhD","1071377077337640","PhD"
"Noah Cooper","B.Tech","2758708236284517","M.Tech/B.Tech"
"Ophelia Barnes","BA","2283172037354283","BA"
"Parker Wood","BBA","2486987134318780","MBA/BBA"
"Quincy Young","BCA","481690518473663","MCA/BCA"
"Sophia Lee","M.Tech","2564411558603354","M.Tech"
"Tyler Adams","MBA","736772465708102","MBA"
"Ulysses Clark","MCA","448038582846953","MCA"
"Victoria Morgan","PhD","708801148206853","PhD"
"Jane Smith","B.Tech","159899705452293","M.Tech/B.Tech"
"Alice Johnson","BA","2163073019325612","BA"
"Bob Brown","BBA","1818505779836863","MBA/BBA"
"Charlie Davis","BCA","2086213551673449","MCA/BCA"
"George Harris","M.Tech","1929097039032752","M.Tech"
"Hannah Martin","MBA","2486345121644216","MBA"
"Ian Clark","MCA","955021882863115","MCA"
"Jessica Lewis","PhD","2073782399665928","PhD"
"Larry Anderson","B.Tech","309262081759453","M.Tech/B.Tech"
"Monica Hall","BA","914610059336401","BA"
"Nathan Allen","BBA","1291920446633595","MBA/BBA"
"Olivia Young","BCA","1615068533343634","MCA/BCA"
"Quinn Wright","M.Tech","593640137699935","M.Tech"
"Rachel Scott","MBA","1113406716985615","MBA"
"Steve Adams","MCA","823741303746808","MCA"
"Tina Baker","PhD","1280518284883759","PhD"
"Victor Roberts","B.Tech","2699711312301959","M.Tech/B.Tech"
"Wendy Evans","BA","1541299387735451","BA"
"Xander Collins","BBA","2044345326334646","MBA/BBA"
"Yvonne Stewart","BCA","183423976975680","MCA/BCA"
"Aaron Wood","M.Tech","1868744090564217","M.Tech"
"Bella Watson","MBA","2099928773598710","MBA"
"Cameron Reed","MCA","3038060774607784","MCA"
"Diana Murphy","PhD","1731387023566253","PhD"
"Fiona Bailey","B.Tech","939684600508925","M.Tech/B.Tech"
"Gavin Nelson","BA","747039157139311","BA"
"Hazel Rivera","BBA","2122997813566133","MBA/BBA"
"Isaac Brooks","BCA","1648324436294184","MCA/BCA"
"Kevin Mitchell","M.Tech","1459743010192052","M.Tech"
"Luna Gray","MBA","2431672854097570","MBA"
"Michael Hayes","MCA","2310106656757315","MCA"
"Nina Simmons","PhD","2971555555575053","PhD"
"Paula Ward","B.Tech","160399666386920","M.Tech/B.Tech"
"Quincy Hughes","BA","477744497300465","BA"
"Ruby Powell","BBA","3075016445480296","MBA/BBA"
"Samuel Russell","BCA","896725996951537","MCA/BCA"
"Ursula Howard","M.Tech","1431910295689572","M.Tech"
"Victor Morgan","MBA","2216368516992845","MBA"
"Walter Bell","MCA","837996888924170","MCA"
"Xena Bryant","PhD","2149397187330318","PhD"
"Zoe Jenkins","B.Tech","2194565341873404","M.Tech/B.Tech"
"Anthony Long","BA","3069647303473001","BA"
"Brittany Patterson","BBA","2511968801494022","MBA/BBA"
"Carlos Coleman","BCA","4495150416542","MCA/BCA"
"Eleanor Perry","M.Tech","2654597169216546","M.Tech"
"Frankie Alexander","MBA","2783507015640218","MBA"
"Gina Butler","MCA","1765690327734607","MCA"
"Harold Webb","PhD","114645271112371","PhD"
"Jackie Harper","B.Tech","65641569762684","M.Tech/B.Tech"
"Kurt Matthews","BA","436825460913302","BA"
"Lara Jennings","BBA","2025259871348429","MBA/BBA"
"Mason Rhodes","BCA","1724921779956441","MCA/BCA"
"Owen Perry","M.Tech","2894688809840","M.Tech"
"Piper Freeman","MBA","2277637152301006","MBA"
"Quinton Lawrence","MCA","2648750028613214","MCA"
"Riley Patterson","PhD","788184388862645","PhD"
